"","timeStart","memory","memoryCorrect","category","categoryCorrect","rt","stim.old","x","y","z","w","trial.num","stim","subject","condition","round"
"215",1414760498782,"new",FALSE,"A",TRUE,8001,TRUE,1,1,0,0,7,"1100",14,"opt-total","05"
"216",1414760507535,"old",FALSE,"B",NA,16448,FALSE,0,1,1,1,8,"0111",14,"opt-total","05"
"217",1414760524735,"old",TRUE,"B",TRUE,3633,TRUE,1,0,0,0,9,"1000",14,"opt-total","05"
"218",1414760529119,"old",TRUE,"A",TRUE,5001,TRUE,1,1,1,0,10,"1110",14,"opt-total","05"
"219",1414760534870,"new",TRUE,"B",NA,8969,FALSE,1,0,1,1,11,"1011",14,"opt-total","05"
"220",1414760544590,"new",TRUE,"A",NA,4730,FALSE,0,1,0,1,12,"0101",14,"opt-total","05"
"221",1414760550072,"old",TRUE,"B",TRUE,3368,TRUE,0,1,0,0,13,"0100",14,"opt-total","05"
"222",1414760554190,"new",TRUE,"A",NA,4137,FALSE,1,1,0,1,14,"1101",14,"opt-total","05"
"223",1414760559079,"old",FALSE,"A",NA,3481,FALSE,1,0,0,1,15,"1001",14,"opt-total","05"
"224",1414760563312,"old",TRUE,"B",TRUE,3671,TRUE,0,1,1,0,16,"0110",14,"opt-total","05"
"225",1414760674397,"new",FALSE,"A",TRUE,7568,TRUE,1,1,1,1,1,"1111",15,"opt-total","05"
"226",1414760682726,"old",TRUE,"B",TRUE,2744,TRUE,0,1,1,0,2,"0110",15,"opt-total","05"
"227",1414760686226,"old",TRUE,"A",TRUE,2148,TRUE,0,0,1,1,3,"0011",15,"opt-total","05"
"228",1414760689136,"old",FALSE,"A",NA,2297,FALSE,1,0,0,1,4,"1001",15,"opt-total","05"
"229",1414760692235,"old",TRUE,"A",TRUE,1549,TRUE,1,1,0,0,5,"1100",15,"opt-total","05"
"230",1414760694546,"old",FALSE,"A",NA,1720,FALSE,0,1,1,1,6,"0111",15,"opt-total","05"
"231",1414760697026,"old",TRUE,"B",TRUE,1493,TRUE,1,0,1,0,7,"1010",15,"opt-total","05"
"232",1414760699276,"old",FALSE,"A",NA,1256,FALSE,1,1,0,1,8,"1101",15,"opt-total","05"
"233",1414760701285,"old",TRUE,"B",TRUE,1545,TRUE,1,0,0,0,9,"1000",15,"opt-total","05"
"234",1414760703585,"old",FALSE,"B",NA,1505,FALSE,0,0,1,0,10,"0010",15,"opt-total","05"
"235",1414760705845,"old",TRUE,"A",TRUE,1343,TRUE,1,1,1,0,11,"1110",15,"opt-total","05"
"236",1414760707945,"old",FALSE,"A",NA,2768,FALSE,1,0,1,1,12,"1011",15,"opt-total","05"
"237",1414760711475,"old",FALSE,"A",NA,1360,FALSE,0,1,0,1,13,"0101",15,"opt-total","05"
"238",1414760713595,"old",TRUE,"A",TRUE,1392,TRUE,0,0,0,1,14,"0001",15,"opt-total","05"
"239",1414760715745,"old",TRUE,"B",TRUE,1425,TRUE,0,1,0,0,15,"0100",15,"opt-total","05"
