"","timeStart","memory","memoryCorrect","category","categoryCorrect","rt","stim.old","x","y","z","w","trial.num","stim","subject","condition","round"
"1101",1415024505583,"old",FALSE,"B",NA,2246,FALSE,0,0,1,1,13,"0011",69,"ms","05"
"1102",1415024508581,"old",TRUE,"B",TRUE,2571,TRUE,0,0,0,0,14,"0000",69,"ms","05"
"1103",1415024511903,"old",TRUE,"B",FALSE,1489,TRUE,0,1,1,1,15,"0111",69,"ms","05"
"1104",1415024514183,"old",TRUE,"A",FALSE,2030,TRUE,0,0,0,1,16,"0001",69,"ms","05"
"1105",1415024483689,"old",FALSE,"B",NA,4818,FALSE,0,0,1,0,1,"0010",70,"ms","05"
"1106",1415024489271,"old",FALSE,"A",NA,4422,FALSE,1,1,1,1,2,"1111",70,"ms","05"
"1107",1415024494452,"old",FALSE,"B",NA,4573,FALSE,0,1,0,0,3,"0100",70,"ms","05"
"1108",1415024499795,"old",FALSE,"A",NA,3814,FALSE,0,0,1,1,4,"0011",70,"ms","05"
"1109",1415024504365,"old",TRUE,"A",TRUE,3634,TRUE,1,0,1,0,5,"1010",70,"ms","05"
"1110",1415024508757,"old",TRUE,"A",TRUE,4917,TRUE,1,1,0,1,6,"1101",70,"ms","05"
"1111",1415024514438,"old",TRUE,"B",FALSE,2511,TRUE,1,1,1,0,7,"1110",70,"ms","05"
"1112",1415024517721,"old",TRUE,"B",TRUE,2733,TRUE,0,0,0,1,8,"0001",70,"ms","05"
"1113",1415024521212,"old",TRUE,"A",FALSE,5719,TRUE,1,1,0,0,9,"1100",70,"ms","05"
"1114",1415024527695,"old",TRUE,"B",TRUE,2354,TRUE,0,0,0,0,10,"0000",70,"ms","05"
"1115",1415024530817,"old",TRUE,"B",TRUE,3907,TRUE,0,1,1,0,11,"0110",70,"ms","05"
"1116",1415024535490,"old",FALSE,"A",NA,4725,FALSE,1,0,0,0,12,"1000",70,"ms","05"
"1117",1415024540982,"old",FALSE,"B",NA,3250,FALSE,1,0,0,1,13,"1001",70,"ms","05"
"1118",1415024545003,"old",FALSE,"A",NA,3113,FALSE,0,1,0,1,14,"0101",70,"ms","05"
"1119",1415024548881,"new",FALSE,"A",TRUE,10351,TRUE,0,1,1,1,15,"0111",70,"ms","05"
"1120",1415024559992,"old",TRUE,"B",FALSE,5925,TRUE,1,0,1,1,16,"1011",70,"ms","05"
"1121",1415024805789,"old",FALSE,"A",NA,6125,FALSE,0,1,0,0,1,"0100",71,"ms","05"
"1122",1415024812669,"old",FALSE,"B",NA,2862,FALSE,0,0,1,0,2,"0010",71,"ms","05"
"1123",1415024816303,"old",TRUE,"A",FALSE,2889,TRUE,1,1,0,0,3,"1100",71,"ms","05"
"1124",1415024819954,"old",FALSE,"A",NA,2386,FALSE,1,0,0,0,4,"1000",71,"ms","05"
"1125",1415024823092,"old",TRUE,"B",FALSE,2568,TRUE,0,1,1,1,5,"0111",71,"ms","05"
"1126",1415024826421,"old",TRUE,"B",TRUE,1890,TRUE,0,1,1,0,6,"0110",71,"ms","05"
"1127",1415024829063,"old",FALSE,"B",NA,2996,FALSE,1,0,0,1,7,"1001",71,"ms","05"
"1128",1415024832816,"old",TRUE,"B",TRUE,2746,TRUE,0,0,0,0,8,"0000",71,"ms","05"
"1129",1415024836318,"old",TRUE,"B",TRUE,2059,TRUE,0,0,0,1,9,"0001",71,"ms","05"
"1130",1415024839130,"old",FALSE,"B",NA,2181,FALSE,0,0,1,1,10,"0011",71,"ms","05"
"1131",1415024842071,"old",TRUE,"A",TRUE,1863,TRUE,1,0,1,1,11,"1011",71,"ms","05"
"1132",1415024844687,"old",TRUE,"A",TRUE,3049,TRUE,1,1,1,0,12,"1110",71,"ms","05"
"1133",1415024848494,"old",FALSE,"B",NA,2194,FALSE,0,1,0,1,13,"0101",71,"ms","05"
"1134",1415024851445,"old",FALSE,"B",NA,6737,FALSE,1,1,1,1,14,"1111",71,"ms","05"
"1135",1415024858942,"old",TRUE,"B",FALSE,2157,TRUE,1,0,1,0,15,"1010",71,"ms","05"
"1136",1415024861850,"new",FALSE,"A",TRUE,3769,TRUE,1,1,0,1,16,"1101",71,"ms","05"
"1137",1415024737415,"old",FALSE,"B",NA,6170,FALSE,0,0,1,0,1,"0010",72,"ms","05"
"1138",1415024744337,"old",FALSE,"A",NA,3593,FALSE,1,0,0,0,2,"1000",72,"ms","05"
"1139",1415024748694,"old",FALSE,"A",NA,2950,FALSE,0,1,0,1,3,"0101",72,"ms","05"
"1140",1415024752401,"old",FALSE,"A",NA,2765,FALSE,1,1,1,1,4,"1111",72,"ms","05"
